Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:07:15:289, 3421, 781437, -1045625, 1937171, -23625961, -64748110, -90038194, 
00:07:15:300, 3421, -252312, 92796, 1204109, -36099247, -63442766, -91923690, 
00:07:15:312, 3421, 105515, -165078, 929281, -38519095, -63992384, -92412240, 
00:07:15:324, 5291, 762187, 2108250, 3675531, -39137415, -62656506, -92022927, 
00:07:15:335, 3439, 69078, -2188656, 1100375, -41687034, -64335896, -90771018, 
00:07:15:351, 3439, 536015, 402593, 1469859, -8114506, -70473302, -86618345, 
00:07:15:363, 3439, 429609, 865515, 319031, -35083979, -80396969, -82923688, 
00:07:15:375, 3427, 118812, -195890, 478609, -41175584, -77938953, -80977122, 
00:07:15:386, 3429, 347218, -751406, 912437, -33045811, -78465671, -77045823, 
00:07:15:398, 3429, 953234, -1839671, 1648265, -43679401, -74580174, -78328266, 
00:07:15:414, 3429, 523140, -553656, 3149953, -41496195, -64389331, -73267196, 
00:07:15:425, 3436, 428000, -136375, 2372640, -26045809, -62083987, -73633609, 
00:07:15:437, 3424, -423546, 36796, 447937, -36145048, -62465666, -73496204, 
00:07:15:449, 3426, 49265, -846375, 568687, -17740463, -63458033, -66564904, 
00:07:15:460, 3426, 804875, -953078, 1542062, 12870232, -47885510, -67916050, 
00:07:15:488, 5332, -662734, 65515, 695968, -43526730, -16748096, -67580172, 
00:07:15:500, 3420, -520406, 481890, 2845296, -47320624, -19381685, -66862614, 
00:07:15:511, 3420, -228687, -2448625, 2658968, -21435120, -17961837, -64908415, 
00:07:15:523, 3420, 684296, -498000, -5237515, -3519084, -17259546, -62435132, 
00:07:15:539, 5285, 344171, -2521093, 7640093, 4114505, -10709926, -60877880, 
00:07:15:550, 3429, -1267671, -2652750, 2096453, -14427485, -320610, -60496200, 
00:07:15:562, 3429, 1050203, 846421, 1940562, 2648855, -19366417, -50839709, 
00:07:15:585, 3424, -674265, 516406, 312937, -37145048, -22748098, -50900778, 
00:07:15:601, 3427, 768984, -443640, 2732921, -29129779, 3351146, -52290091, 
00:07:15:613, 5346, -120609, -405593, -609453, -39106881, 2343512, -46412227, 
00:07:15:625, 5346, 72843, -10953, 612437, -36496193, -4442749, -45267188, 
00:07:15:636, 27, -1509406, -500625, 1384359, -22061075, -29893138, -39916042, 
00:07:15:648, 3421, -73828, -553453, 1505781, -4603054, -26152679, -39221385, 
00:07:15:664, 3439, 185093, -786078, 794781, -16541989, -22809166, -38564896, 
00:07:15:675, 3439, 227359, -529859, 1192171, -26160312, -18908402, -36992377, 
00:07:15:687, 3439, -298906, 247734, 840171, -25183213, -10305346, -37832072, 
00:07:15:699, 3441, -1199093, 477750, 19937, -923664, -2244275, -37740468, 
