Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:06:24:910, 0, -129656, 88875, 1283921, -4221375, -2595420, -8160307, 
00:06:24:921, 0, -211781, 114765, 684343, -10854964, -190839, -5763360, 
00:06:24:933, 0, -427250, 88140, 1311359, -6427482, 4847329, -6236643, 
00:06:24:949, 0, -91781, -291703, 1040796, -3633588, 2656489, -6824429, 
00:06:24:960, 0, -144421, 216640, 920406, -3045802, 3343512, -6832063, 
00:06:24:972, 0, -97828, 324609, 1296203, -7572521, -320610, -5839696, 
00:06:24:984, 0, -247687, -100828, 1508265, -12114507, 793893, -5381680, 
00:06:24:996, 0, -179921, 64187, 1259578, -10648858, 2564886, -4511451, 
00:06:25:11, 3428, -146750, 92546, 1427890, -11183209, 5335879, -4083970, 
00:06:25:23, 3428, -160937, 65953, 1026843, -10908400, 6236643, -4206108, 
00:06:25:35, 3428, -189343, 303265, 1261328, -10198476, 4625955, -2381680, 
00:06:25:46, 3428, -130343, 90156, 1064984, -10587789, 2770993, -1160305, 
00:06:25:74, 3428, -171000, -36656, 1072421, -10603056, -4877864, 1786260, 
00:06:25:85, 3423, -107015, 16640, 1135203, -10587789, -7015269, 3885497, 
00:06:25:121, 3427, 6062, 181625, 1091796, -18160310, -5610688, 9908399, 
00:06:25:136, 3427, -285187, -48218, 2010031, -19534356, -3129771, 12687026, 
00:06:25:160, 3437, -239921, 165515, 1637703, -7412215, 4786260, 17541989, 
00:06:25:171, 3433, -86234, -132562, 1254609, -6664124, -2801527, 18824432, 
00:06:25:183, 3423, 182593, -295593, 458593, -12305347, -12274812, 19755730, 
00:06:25:199, 3423, -51390, 266703, 1131890, -21022906, -4122138, 21610693, 
00:06:25:210, 3423, -52234, 360703, 1586359, -21725197, 4671757, 23541991, 
00:06:25:222, 3423, -156921, 499140, 1362640, -23015273, 4923665, 25381686, 
00:06:25:234, 3423, -100312, 147406, 988812, -22305349, 2114504, 26282450, 
00:06:25:246, 3436, -219031, 20578, 1013500, -21198479, 6404582, 26648862, 
00:06:25:261, 3435, -184843, 125062, 866468, -9503819, 6572520, 24412220, 
00:06:25:273, 3435, -385625, -166453, 1562046, -19167944, 1992366, 24587793, 
00:06:25:285, 3435, -207046, -56343, 946734, -20183211, -5000001, 22824434, 
00:06:25:296, 3435, -146140, -325359, 970171, -18954203, -6076337, 22442754, 
00:06:25:312, 3435, -40671, 169671, 858734, -24358785, -1320611, 24984740, 
00:06:25:324, 3435, -210796, 170109, 903484, -25946572, 3038168, 26793900, 
00:06:25:335, 0, -401203, 223515, 146671, -28496191, 6297711, 28717565, 
00:06:25:347, 0, -265000, 600187, 1139671, -18923669, 11045804, 25366419, 
00:06:25:359, 0, -255156, -531796, 1076500, -5954200, 14969469, 18633593, 
